sample-id,absolute-filepath,direction
A1-1,$PWD/Sequence/A1-1_S145_L001_R1_001.fastq.gz,forward
A1-1,$PWD/Sequence/A1-1_S145_L001_R2_001.fastq.gz,reverse
A1-2,$PWD/Sequence/A1-2_S146_L001_R1_001.fastq.gz,forward
A1-2,$PWD/Sequence/A1-2_S146_L001_R2_001.fastq.gz,reverse
A1-3,$PWD/Sequence/A1-3_S147_L001_R1_001.fastq.gz,forward
A1-3,$PWD/Sequence/A1-3_S147_L001_R2_001.fastq.gz,reverse
A2-1,$PWD/Sequence/A2-1_S148_L001_R1_001.fastq.gz,forward
A2-1,$PWD/Sequence/A2-1_S148_L001_R2_001.fastq.gz,reverse
A2-2,$PWD/Sequence/A2-2_S149_L001_R1_001.fastq.gz,forward
A2-2,$PWD/Sequence/A2-2_S149_L001_R2_001.fastq.gz,reverse
A2-3,$PWD/Sequence/A2-3_S150_L001_R1_001.fastq.gz,forward
A2-3,$PWD/Sequence/A2-3_S150_L001_R2_001.fastq.gz,reverse
B1-1,$PWD/Sequence/B1-1_S151_L001_R1_001.fastq.gz,forward
B1-1,$PWD/Sequence/B1-1_S151_L001_R2_001.fastq.gz,reverse
B1-2,$PWD/Sequence/B1-2_S152_L001_R1_001.fastq.gz,forward
B1-2,$PWD/Sequence/B1-2_S152_L001_R2_001.fastq.gz,reverse
B1-3,$PWD/Sequence/B1-3_S153_L001_R1_001.fastq.gz,forward
B1-3,$PWD/Sequence/B1-3_S153_L001_R2_001.fastq.gz,reverse
B2-1,$PWD/Sequence/B2-1_S154_L001_R1_001.fastq.gz,forward
B2-1,$PWD/Sequence/B2-1_S154_L001_R2_001.fastq.gz,reverse
B2-2,$PWD/Sequence/B2-2_S155_L001_R1_001.fastq.gz,forward
B2-2,$PWD/Sequence/B2-2_S155_L001_R2_001.fastq.gz,reverse
B2-3,$PWD/Sequence/B2-3_S156_L001_R1_001.fastq.gz,forward
B2-3,$PWD/Sequence/B2-3_S156_L001_R2_001.fastq.gz,reverse
C-1,$PWD/Sequence/C-1_S157_L001_R1_001.fastq.gz,forward
C-1,$PWD/Sequence/C-1_S157_L001_R2_001.fastq.gz,reverse
C-2,$PWD/Sequence/C-2_S158_L001_R1_001.fastq.gz,forward
C-2,$PWD/Sequence/C-2_S158_L001_R2_001.fastq.gz,reverse
C-3,$PWD/Sequence/C-3_S159_L001_R1_001.fastq.gz,forward
C-3,$PWD/Sequence/C-3_S159_L001_R2_001.fastq.gz,reverse
D-1,$PWD/Sequence/D-1_S160_L001_R1_001.fastq.gz,forward
D-1,$PWD/Sequence/D-1_S160_L001_R2_001.fastq.gz,reverse
D-2,$PWD/Sequence/D-2_S161_L001_R1_001.fastq.gz,forward
D-2,$PWD/Sequence/D-2_S161_L001_R2_001.fastq.gz,reverse
D-3,$PWD/Sequence/D-3_S162_L001_R1_001.fastq.gz,forward
D-3,$PWD/Sequence/D-3_S162_L001_R2_001.fastq.gz,reverse
E-1,$PWD/Sequence/E-1_S163_L001_R1_001.fastq.gz,forward
E-1,$PWD/Sequence/E-1_S163_L001_R2_001.fastq.gz,reverse
E-2,$PWD/Sequence/E-2_S164_L001_R1_001.fastq.gz,forward
E-2,$PWD/Sequence/E-2_S164_L001_R2_001.fastq.gz,reverse
E-3,$PWD/Sequence/E-3_S165_L001_R1_001.fastq.gz,forward
E-3,$PWD/Sequence/E-3_S165_L001_R2_001.fastq.gz,reverse
F-1,$PWD/Sequence/F-1_S166_L001_R1_001.fastq.gz,forward
F-1,$PWD/Sequence/F-1_S166_L001_R2_001.fastq.gz,reverse
F-2,$PWD/Sequence/F-2_S167_L001_R1_001.fastq.gz,forward
F-2,$PWD/Sequence/F-2_S167_L001_R2_001.fastq.gz,reverse
F-3,$PWD/Sequence/F-3_S168_L001_R1_001.fastq.gz,forward
F-3,$PWD/Sequence/F-3_S168_L001_R2_001.fastq.gz,reverse
